"id,labels"
"1375236048247132163,0"
"1375235200787959815,0"
"1375234781546311680,0"
"1375233480313905154,0"
"1375232775134019587,0"
"1375232428416065542,0"
"1375231845110054918,0"
"1375231661219143680,0"
"1375230549065752579,0"
"1375230268643086338,0"
"1375229762193461249,0"
"1375229762130608132,0"
"1375229518374297602,0"
"1375229278841761796,0"
"1375228817669771267,0"
"1375227765423738883,0"
"1375227352645476354,0"
"1375227140581564419,0"
"1375227126014746625,0"
"1375226922771357707,0"
"1375226234515427328,1"
"1375226210104541188,0"
"1375226138067369985,0"
"1375226111936843784,0"
"1375226087899340802,0"
"1375226079837888521,0"
"1375226053178822656,0"
"1375226020291354626,0"
"1375225989144444930,0"
"1375225943724294145,0"
"1375225917522460676,0"
"1375225887583518724,0"
"1375225856541478919,0"
"1375225783652876291,0"
"1375225423294947331,0"
"1375224990627401732,0"
"1375224818610606085,1"
"1375224508869644295,1"
"1375224324265803778,0"
"1375223947122237443,0"
"1375223926838718467,1"
"1375223821129687044,0"
"1375223734743744513,1"
"1375223297575632899,0"
"1375223188825772036,0"
"1375222937423339523,1"
"1375222575555436546,1"
"1375222392709115908,0"
"1375221980765564929,1"
"1375221795519750147,0"
"1375221594965086208,0"
"1375221143578177538,0"
"1375220755378667523,0"
"1375220012017987586,0"
"1375219125094596611,0"
"1375218740556492802,0"
"1375218346044522496,1"
"1375216978818953216,1"
"1375216500089495555,1"
"1375216058341150721,1"
"1375215940145586177,0"
"1375214362617643014,1"
"1375214256082325509,0"
"1375213724701704196,1"
"1375213637359439874,0"
"1375212130522308618,0"
"1375211974322163715,0"
"1375211752237989890,1"
"1375211267531579397,0"
"1375211138074476547,0"
"1375211127106383878,0"
"1375210575647670279,0"
"1375210447989829640,1"
"1375210416490577926,0"
"1375208853919399937,0"
"1375208542689488901,0"
"1375207964722786312,0"
"1375207710493380620,0"
"1375206385726656520,0"
"1375206173209690120,0"
"1375204835646189575,0"
"1375204783498305537,0"
"1375204643165237248,1"
"1375204537678622721,0"
"1375203094649307143,1"
"1375202853111889924,0"
"1375202547594592260,0"
"1375202412676415490,1"
"1375201969065844748,1"
"1375201931556126722,1"
"1375201640723136513,0"
"1375201219774398468,1"
"1375201077033791491,0"
"1375200835790049281,1"
"1375200759617351681,0"
"1375200248944078855,0"
"1375200091838029830,0"
"1375199689017024516,0"
"1375199442345811970,0"
"1375199229056929792,0"
"1375198883383492609,1"
"1375198766261792771,1"
"1375198553375707136,0"
"1375198322512777226,1"
"1375198320109363200,1"
"1375198195719020553,1"
"1375197837693181955,0"
"1375197249706336256,0"
"1375197065718943744,0"
"1375196929487994884,0"
"1375196685761015808,0"
"1375196012336316419,0"
"1375195428732469249,0"
"1375194435798110212,0"
"1375194281196056576,1"
"1375194264997654535,0"
"1375194095057010690,1"
"1375193873891405834,0"
"1375193066127060992,0"
"1375192862061555720,0"
"1375192128020574210,0"
"1375192004230004740,1"
"1375191864584761346,0"
"1375191812797833222,0"
"1375191057080578048,0"
"1375191035618426886,0"
"1375190741790547969,1"
"1375190453306413059,0"
"1375190254144077828,1"
"1375189984894873603,0"
"1375189085891989513,0"
"1375189008695787523,1"
"1375188562572939267,0"
"1375188235253645312,1"
"1375188181633671174,0"
"1375187734348902407,0"
"1375187698235871237,1"
"1375186969681129482,1"
"1375186921484337154,1"
"1375186575378759681,0"
"1375186286236024835,1"
"1375185987932991495,1"
"1375185477536464911,1"
"1375185021766676483,1"
"1375184694233468931,1"
"1375184577434636291,1"
"1375184149439524867,0"
"1375183930584875008,1"
"1375183788683063298,0"
"1375183226050916352,0"
"1375183148594642951,0"
"1375182960459124740,1"
"1375181627022848003,0"
"1375180259876687876,0"
"1375180231561113603,0"
"1375179945891205122,0"
"1375178423761571842,0"
"1375177872650932237,1"
"1375177836575793155,0"
"1375177027280646148,0"
"1375176315620392962,1"
"1375176294233743370,1"
"1375176092189855748,1"
"1375175894285832193,0"
"1375174937326010371,1"
"1375174826009227267,0"
"1375174687517466627,0"
"1375173579067830272,0"
"1375173557022564352,0"
"1375173412495196162,0"
"1375173047406182401,0"
"1375172996491513861,1"
"1375172154011058177,0"
"1375171266861207556,0"
"1375171167825330181,0"
"1375170165172797440,0"
"1375169849345798146,0"
"1375167927691923459,0"
"1375167324077047811,0"
"1375166983302430728,0"
"1375166118290153473,0"
"1375165330436329473,0"
"1375164473946865677,1"
"1375163964624154644,0"
"1375163916330786819,0"
"1375160919584600069,0"
"1375160679779434500,0"
"1375160360492281856,0"
"1375159856978653192,1"
"1375159548567289858,0"
"1375158599043870725,0"
"1375157751995846660,1"
"1375157705753645057,1"
"1375157265532137484,0"
"1375157052583071744,0"
"1375155312337039365,0"
"1375154581563449362,0"
"1375154361626726402,0"
"1375154231334801410,0"
"1375153927247835144,1"
"1375153794175078414,0"
"1375153036520267780,1"
"1375153008623894551,0"
"1375152988310884353,0"
"1375152878726307848,0"
"1375152772207808520,1"
"1375152311899729922,0"
"1375152127044108312,1"
"1375151951025934337,1"
"1375151932747227140,1"
"1375151900811796485,0"
"1375151689263681544,0"
"1375151674201944067,0"
"1375151658754314241,0"
"1375151027511566339,0"
"1375150830475735042,0"
"1375150524543143939,0"
"1375149955082563584,1"
"1375148848822239232,0"
"1375148707667009540,0"
"1375148512820727811,1"
"1375147474034253829,0"
"1375146342645968898,0"
"1375145199370919939,0"
"1375143428007284747,1"
"1375143388396277763,0"
"1375143383774167040,1"
"1375142910631481345,0"
"1375142153446256640,0"
"1375140629156532228,0"
"1375140479864557575,0"
"1375140473761828872,0"
"1375140217775136769,0"
"1375139012726419465,0"
"1375138332452159497,1"
"1375138291016740867,0"
"1375138155867832320,1"
"1375136704416387074,0"
"1375136613076992011,0"
"1375135922686197763,1"
"1375135750199578626,0"
"1375135596193198085,1"
"1375133711839166472,1"
"1375133655723438081,1"
"1375132975571075077,1"
"1375132579276460033,0"
"1375132503447543808,1"
"1375131987481071618,1"
"1375130989270274048,0"
"1375129949066121217,0"
"1375129892329811969,1"
"1375129646509985797,1"
"1375129283677585417,1"
"1375128836375867393,0"
"1375128039856689164,1"
"1375127884982059018,0"
"1375127042115649538,0"
"1375126729673617417,1"
"1375126640255193089,0"
"1375126640041332740,0"
"1375126306267017218,1"
"1375125533550329861,1"
"1375124215708454928,1"
"1375124215561646083,1"
"1375123250326331392,1"
"1375122868430835719,1"
"1375121760127967234,0"
"1375120838370951170,0"
"1375120546371887111,1"
"1375119757888917511,0"
"1375119706764550144,0"
"1375119680495611906,0"
"1375119593044385797,0"
"1375119535192338437,1"
"1375119272695980038,0"
"1375118916901609479,1"
"1375118766154031109,0"
"1375116826695323650,1"
"1375116715269484553,1"
"1375115971162165255,1"
"1375115608103079943,0"
"1375115535793463300,0"
"1375115351311126534,1"
"1375115349285343232,1"
"1375115347397857285,1"
"1375115171593658370,0"
"1375114018030034945,0"
"1375113667444887558,1"
"1375113163583188992,1"
"1375112991671164929,1"
"1375112430297178113,0"
"1375112016730411011,0"
"1375111408870903820,1"
"1375111315103027205,0"
"1375109323538493440,0"
"1375109139404361732,0"
"1375109002858668038,1"
"1375108803864109065,1"
"1375107662162112521,0"
"1375107342723846147,1"
"1375107066507976710,1"
"1375106972056485889,0"
"1375106943887495180,1"
"1375106594636189696,0"
"1375104900514914305,0"
"1375104894869323790,0"
"1375104869514772486,1"
"1375104864456372226,0"
"1375104810534506497,1"
